feature,group,is_candidate
is_missing_bar,other,False
csi500_ret_1d,baseline_technical,True
csi500_ret_2d,baseline_technical,True
csi500_ret_3d,baseline_technical,True
csi500_ret_5d,baseline_technical,True
csi500_ret_10d,baseline_technical,True
csi500_ret_20d,baseline_technical,True
csi500_ret_60d,baseline_technical,True
csi500_ret_120d,baseline_technical,True
csi500_vol_20d,baseline_technical,True
ret_1d,short_returns,True
ret_2d,short_returns,True
ret_3d,short_returns,True
ret_5d,short_returns,True
ret_10d,baseline_technical,True
ret_20d,baseline_technical,True
ret_60d,baseline_technical,True
ret_120d,baseline_technical,True
vol_5d,short_returns,True
vol_10d,short_returns,True
vol_20d,baseline_technical,True
volume_z_5d,short_volume_price,True
amount_z_5d,short_volume_price,True
volume_z_20d,baseline_technical,True
amount_z_20d,baseline_technical,True
turnover_ma_20d,liquidity_risk,True
amount_ma_20d,liquidity_risk,True
close_over_ma20,baseline_technical,True
close_over_ma60,baseline_technical,True
rsi_6,short_returns,True
rsi_14,baseline_technical,True
boll_z_10d,short_bollinger,True
boll_width_10d,short_bollinger,True
boll_position_10d,short_bollinger,True
boll_z_20d,short_bollinger,True
boll_width_20d,short_bollinger,True
boll_position_20d,short_bollinger,True
boll_z_60d,bollinger,True
boll_width_60d,bollinger,True
boll_position_60d,bollinger,True
near_boll_upper_20d,short_bollinger,True
near_boll_lower_20d,short_bollinger,True
high_low_range_20d,liquidity_risk,True
atr_14d,liquidity_risk,True
max_drawdown_20d,liquidity_risk,True
overnight_gap,short_volume_price,True
intraday_return,short_volume_price,True
close_location_value,short_volume_price,True
missing_days_20d,liquidity_risk,True
zero_volume_days_20d,liquidity_risk,True
recent_halt_flag,liquidity_risk,True
limit_move_flag,liquidity_risk,True
excess_ret_1d,csi500_relative,True
excess_ret_2d,csi500_relative,True
excess_ret_3d,csi500_relative,True
excess_ret_5d,csi500_relative,True
excess_ret_20d,csi500_relative,True
excess_ret_60d,csi500_relative,True
relative_vol_20d,csi500_relative,True
beta_to_csi500_60d,csi500_relative,True
residual_ret_1d,csi500_relative,True
residual_ret_20d,csi500_relative,True
idiosyncratic_vol_60d,csi500_relative,True
ret_3d_rank,short_returns,True
ret_5d_rank,short_returns,True
ret_20d_rank,cross_sectional,True
vol_20d_rank,cross_sectional,True
excess_ret_3d_rank,csi500_relative,True
excess_ret_5d_rank,csi500_relative,True
excess_ret_20d_rank,csi500_relative,True
ret_3d_zscore,short_returns,True
ret_5d_zscore,short_returns,True
ret_20d_zscore,cross_sectional,True
vol_20d_zscore,cross_sectional,True
low_liquidity_flag,liquidity_risk,True
sp500_ret_1d,market_regime,True
sp500_ret_3d,market_regime,True
sp500_ret_5d,market_regime,True
sp500_ret_20d,market_regime,True
sp500_ret_60d,market_regime,True
sp500_vol_20d,market_regime,True
nasdaq100_ret_1d,market_regime,True
nasdaq100_ret_3d,market_regime,True
nasdaq100_ret_5d,market_regime,True
nasdaq100_ret_20d,market_regime,True
nasdaq100_ret_60d,market_regime,True
nasdaq100_vol_20d,market_regime,True
csi300_ret_1d,market_regime,True
csi300_ret_3d,market_regime,True
csi300_ret_5d,market_regime,True
csi300_ret_20d,market_regime,True
csi300_ret_60d,market_regime,True
csi300_vol_20d,market_regime,True
star50_ret_1d,market_regime,True
star50_ret_3d,market_regime,True
star50_ret_5d,market_regime,True
star50_ret_20d,market_regime,True
star50_ret_60d,market_regime,True
star50_vol_20d,market_regime,True
csi1000_ret_1d,market_regime,True
csi1000_ret_3d,market_regime,True
csi1000_ret_5d,market_regime,True
csi1000_ret_20d,market_regime,True
csi1000_ret_60d,market_regime,True
csi1000_vol_20d,market_regime,True
csi500_market_ret_1d,baseline_technical,True
csi500_market_ret_3d,baseline_technical,True
csi500_market_ret_5d,baseline_technical,True
csi500_market_ret_20d,baseline_technical,True
csi500_market_ret_60d,baseline_technical,True
csi500_market_vol_20d,baseline_technical,True
oil_gas_etf_ret_1d,market_regime,True
oil_gas_etf_ret_3d,market_regime,True
oil_gas_etf_ret_5d,market_regime,True
oil_gas_etf_ret_20d,market_regime,True
oil_gas_etf_ret_60d,market_regime,True
oil_gas_etf_vol_20d,market_regime,True
